kind,entityType,entityId,sku,actionType,currentBid,suggestedBid,text,campaignName,groupName,campaignId,adGroupId,accountId,siteId,spend30,clicks30,orders30,acos30,spend7,clicks7,orders7,acos7,reasonCode,hit,habit,marketBucket,reopenRule,priority
auto,autoTarget,552524512214088,EY0793,bid,0.27,0.03,Substitutes,ai_auto_ful full loop_ey0793,ai_auto_ful full loop_ey0793,50423253765165,459513222181734,295,4,122.32,327,16,0.350657,2.53,10,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=10 spend=2.53,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,1
kw,keyword,144589187937889,GT3801,bid,0.05,0.02,purple funeral ribbon pins,kw_purplecheer ribbon_gt3801,pin me cheer ribbon-gt3801,324693137642903,434842339515083,167,4,109.77,189,15,0.412964,32.79,51,1,2.050656,cooldown_override_7d_extreme_acos_cut,7d_high_acos clicks=51 spend=32.79 orders=1 acos=2.051,kw_zero_order_or_high_acos_not_stopped,funeral_memorial_ribbon_fit_misjudge,do_not_reopen_without_fresh_market_and_exact_conversion_proof,2
auto,autoTarget,317392606314211,AE3311,bid,0.45,0.05,Close-match,god mother gifts for women-ae3311-system-a,god mother gifts for women-ae3311-system-a,295282411525603,362962526446406,195,4,65.5,122,16,0.271964,2.81,7,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=7 spend=2.81,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,3
kw,keyword,419613223174431,SAN0383,pause,0.37,,cowgirl hat,kw_cowhat&band_san0383,kw_core,350659306277711,552382127037963,528,4,64.65,83,8,0.160864,2.95,5,0,,cooldown_override_15d_zero_order_hard_stop,7d_zero_order clicks=5 spend=2.95,kw_zero_order_or_high_acos_not_stopped,hat_cowboy_generic_intent_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,4
kw,keyword,324424760692027,LUO1006,bid,0.04,0.02,bottle chug,kw_bottle chug_luo1006,kw_bottle chug_luo1006,310157314522132,435001710549497,700,4,53.79,92,9,0.259968,5.01,12,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=12 spend=5.01,kw_zero_order_or_high_acos_not_stopped,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,5
manual,manualTarget,281253418089274,HL4004,bid,0.05,0.02,asinExpandedFrom=B09SQF8FBG,asin_spikes mat_hl4004,asin_spikes mat_hl4004,144048235099248,3929743266894,117,4,51.83,109,9,0.273033,12.96,27,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=27 spend=12.96,asin_or_manual_expansion_unverified,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,6
manual,manualTarget,534944476174026,DN3049,bid,0.25,0.03,asinExpandedFrom=B0FJ5XSYT4,asin_flower bucket _dn3049,asin_flower bucket _dn3049,545030563106937,510338574342200,171,4,44.86,67,5,0.102203,3.66,5,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=5 spend=3.66,asin_or_manual_expansion_unverified,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,7
auto,autoTarget,283645387582544,SIJ2012,bid,0.22,0.02,Substitutes,storage bins-sij2012-system-a,storage bins-sij2012-system-a,360520582788860,302617335726940,607,4,42.62,158,9,0.079676,1.64,8,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=8 spend=1.64,auto_loose_or_substitutes_uncontrolled,storage_food_container_broad_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,8
manual,manualTarget,115758909196310,MH0525,bid,0.16,0.08,asinExpandedFrom=B0D3H7819C,asin_ dessert cups_mh0525,asin_ dessert cups_mh0525,85972394199484,236263349817321,187,4,42.43,145,8,0.219947,31.41,106,2,0.683123,cooldown_override_7d_severe_acos_cut,7d_high_acos clicks=106 spend=31.41 orders=2 acos=0.683,asin_or_manual_expansion_unverified,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,9
kw,keyword,423520514605853,SIJ2012,bid,0.65,0.07,fish tubs,kw_food storage box_sij2012,kw_food storage box_sij2012,510905342436109,436163515542228,607,4,37.73,56,4,0.171531,6.31,10,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=10 spend=6.31,kw_zero_order_or_high_acos_not_stopped,storage_food_container_broad_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,10
