no,sku,asin,currentPrice,invDays,units7d,profitRate,priority,why
57,SE5608,B09VPGDT93,15.99,24,76,34.6%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
88,QQ2806,B0D9QFQHN9,12.99,30,65,23.7%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
17,XIA1681,B0C7K43997,14.99,18,48,32.7%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
41,YAN0087,B0BC8FT8MJ,11.99,27,37,22.2%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
18,COO1855,B0D9LKYKWV,17.99,15,36,28.0%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
5,SHQ0554,B0D73SYRYR,28.99,3,30,23.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
56,XIX2353,B0GH7R7T65,18.99,22,25,25.0%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
39,QA1950,B0BNHNX68F,16.99,18,21,22.5%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
74,PR2460,B0BYHS1CYH,27.99,25,20,18.6%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
63,EY0793,B09P55WGV7,21.99,19,19,36.8%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
15,YYW2629,B0FMRNLGTW,57.99,11,17,17.0%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
64,SC3420,B0C2HKSG2X,17.99,30,17,37.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
89,GT3812,B0CYPVQ5BG,18.99,24,17,31.8%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
