"序号","SKU","活动ID","广告组ID","活动名称","广告组名称","投放类型","花费","订单","ACOS","最近手动调整时间","最近广告更新时间","匹配到的执行层对象数","其中可执行对象数","剩余原因"
"1","CEE0304","=""156647635625445""","=""316060968429033""","kw phrase_12 oz,dessert cups_cee0304","kw phrase_12 oz,dessert cups_cee0304","keywordTarget","0","0","","2026-04-10 13:01:10","2026-04-10 13:01:10","2","2","能匹配到执行层，当前仍有可执行对象"
"2","CEE0304","=""210207881186416""","=""417160387484526""","kw exact _9 oz,dessert cups_cee0304","kw exact _9 oz,dessert cups_cee0304","keywordTarget","","","","2026-04-10 13:01:28","2026-04-10 13:01:28","5","5","能匹配到执行层，当前仍有可执行对象"
"3","CEE0467","=""460236555018735""","=""354386209035895""","auto_fruit cups plastic_cee0467","fruit cups plastic-cee0467-system-a","auto","0.15","0","","2026-04-16 21:54:17","2026-04-09 19:08:04","4","4","能匹配到执行层，当前仍有可执行对象"
"4","CII1754","=""398037568779773""","=""282785695507618""","kw_new york souvenirs_cii1754","kw_new york souvenirs_cii1754","keywordTarget","1.52","0","","2026-04-21 08:21:29","2026-04-10 13:00:22","19","3","能匹配到执行层，当前仍有可执行对象"
"5","COO1855","=""355914299840298""","=""490494513940354""","asin_star keychain_coo1855","asin_star keychain_coo1855","productTarget","2.26","0","","2026-04-16 21:53:48","2026-04-10 10:28:22","4","2","能匹配到执行层，当前仍有可执行对象"
"6","GM3149","=""220377938264842""","=""54118362522617""","asin expanded_lab week_gm3149","asin expanded_lab week_gm3149","productTarget","2.39","1","0.170836","2026-04-09 16:47:45","2026-04-09 16:47:45","4","4","能匹配到执行层，当前仍有可执行对象"
"7","HAY1931","=""545764772260286""","=""358530268185438""","cruise ship ducks-hay1931-system-a","cruise ship ducks-hay1931-system-a","auto","0.13","0","","2026-04-16 22:08:37","2026-04-10 18:50:01","4","1","能匹配到执行层，当前仍有可执行对象"
"8","LED3945","=""489584341798677""","=""386889518330820""","kw2_appreciationballpoint_led3945","kw2_appreciationballpoint_led3945","keywordTarget","","","","2026-04-10 17:34:34","2026-04-10 17:34:34","7","2","能匹配到执行层，当前仍有可执行对象"
"9","LEM5778","=""235625895928900""","=""33746005366801""","kw broad_reward pencils_lem5778","kw broad_reward pencils_lem5778","keywordTarget","0","0","","2026-04-10 17:43:09","2026-04-10 17:43:09","2","2","能匹配到执行层，当前仍有可执行对象"
"10","MF6280","=""150843784479363""","=""329891282482199""","20260411-mf6280-system-a","20260411-mf6280-system-a","auto","0","0","","","2026-04-11 08:35:22","4","4","能匹配到执行层，当前仍有可执行对象"
"11","MF6292","=""247534281628792""","=""521279866184112""","20260411-mf6292-system-a","20260411-mf6292-system-a","auto","0","0","","","2026-04-11 08:35:22","4","4","能匹配到执行层，当前仍有可执行对象"
"12","MF6294","=""255965331927842""","=""97534675345469""","jumbo letter balloons-mf6294-system-keyword","jumbo letter balloons-mf6294-system-keyword","keywordTarget","0","0","","2026-04-10 17:38:08","2026-04-10 17:38:07","35","35","能匹配到执行层，当前仍有可执行对象"
"13","NAY0963","=""403666683939837""","=""344777026658167""","auto_ballpoint pen_nay0963","auto_normal","auto","0.18","0","","2026-04-16 22:08:31","2026-04-10 18:49:25","4","2","能匹配到执行层，当前仍有可执行对象"
"14","NEW0005","=""353299294704695""","=""512037718405737""","auto_wooden love sign_new0005","auto_wooden love sign_new0005","auto","0.16","0","","2026-04-16 22:08:43","2026-04-10 18:50:43","4","2","能匹配到执行层，当前仍有可执行对象"
"15","NO3390","=""353223566318509""","=""449400651740572""","kw2_butterfly baby shower_no3390","kw2_butterfly baby shower_no3390","keywordTarget","2.52","0","","2026-04-10 12:59:03","2026-04-10 12:59:03","8","4","能匹配到执行层，当前仍有可执行对象"
"16","OC1858","=""557251131287154""","=""484095254767288""","asin _photocard_oc1858","asin _photocard_oc1858","productTarget","0.24","0","","2026-03-30 17:11:35","2026-03-30 17:11:35","7","1","能匹配到执行层，当前仍有可执行对象"
"17","QA2074","=""310049441428650""","=""526366329139598""","wedding signs qa2074-a4","wedding signs qa2074-a4","auto","0.98","0","","2026-04-16 22:08:43","2026-04-10 18:50:47","4","1","能匹配到执行层，当前仍有可执行对象"
